Tasa de mortalidad en niñas y niños menores de 5 años (por cada mil nacidos vivos),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Entidad federativa,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Nacional,41.79346,37.30325,35.65786,34.19945,32.919,31.80922,30.67533,29.49933,28.31302,27.12265,25.89249,24.63551,23.45102,22.44791,21.67923,21.09316,20.54119,20.02813,19.53676,19.08885,18.66259,17.95019,17.30022,16.88742,15.88503,16.00102,15.77442,15.81054,15.24884,15.4185
Aguascalientes,32.16477,30.18316,29.25655,28.42088,27.52706,26.75761,26.15775,25.47976,24.20331,23.00521,21.62358,20.32879,19.06322,18.29972,17.65777,17.1767,16.72848,16.20535,15.70001,15.1664,14.71916,11.85932,12.20674,11.06618,11.79843,10.44126,11.02887,11.71314,10.90637,12.7177
Baja California,31.25621,28.03334,27.19922,26.50351,25.9356,25.42974,24.58272,23.67945,22.72811,21.78716,20.7928,19.76973,18.83579,17.91556,17.19251,16.6009,16.04975,15.55235,15.01784,14.57028,14.06183,15.06675,15.13718,13.03729,11.66611,12.30323,11.41394,12.57508,12.49579,10.87441
Baja California Sur,34.06408,29.26067,27.64823,26.95835,26.21145,25.55911,24.82425,24.0977,23.48739,22.88108,22.22222,21.44633,20.70646,19.75971,19.02728,18.44632,17.84229,17.38588,16.74826,16.40023,15.93207,11.64633,12.49515,13.24556,12.14093,11.38986,10.02488,12.76565,13.96719,9.75434
Campeche,45.55478,37.40215,34.80682,34.60912,34.47873,34.22435,33.89329,33.43826,31.72142,29.9982,28.25332,26.17146,24.54243,23.47307,22.57894,21.91107,21.33896,20.87008,20.42979,20.04953,19.81716,17.679,18.91412,17.00357,14.26089,17.7938,15.2524,13.30947,16.54793,13.10451
Coahuila de Zaragoza,33.45934,34.06494,34.0942,30.80015,28.05364,25.72178,23.24347,20.4645,20.1639,19.88885,19.51464,19.10652,18.70445,17.81518,17.10158,16.56716,16.0269,15.47372,14.90098,14.38725,13.91502,11.61476,14.80628,13.63828,16.09273,14.03503,15.04645,14.31532,13.60959,14.42038
Colima,37.475,34.03164,32.38287,30.46358,29.11909,27.73746,26.90257,25.75488,24.52404,23.36825,22.34772,20.9127,19.87942,18.96354,18.19225,17.61462,17.08138,16.65989,16.21969,15.78989,15.41002,14.15874,12.57071,14.44647,10.9776,10.36772,10.64611,12.55599,12.962,12.50465
Chiapas,64.35067,60.37042,58.82769,54.89818,51.56027,48.61175,45.03383,41.21457,39.83593,38.46926,37.10119,35.81977,34.59378,33.05016,31.83348,30.93494,30.11037,29.45405,28.72524,28.13575,27.60275,27.16006,27.70207,25.9865,26.78362,25.83533,25.72152,24.69304,23.91909,23.13111
Chihuahua,33.98841,31.93495,31.23117,30.5786,30.01604,29.56801,28.92933,28.14838,27.25385,26.31765,25.43467,24.59051,23.79083,22.90098,22.24667,21.74006,21.23017,20.76827,20.28,19.80284,19.27112,17.42954,16.51323,18.11187,17.13665,18.37093,17.13467,17.9879,16.91457,15.93074
Ciudad de México,25.6068,24.93766,24.49802,23.11178,21.91779,20.86289,19.86862,18.78565,18.65667,18.52586,18.37515,18.20961,18.08172,17.23178,16.59196,16.1094,15.6356,15.19503,14.76915,14.36211,13.89798,16.42938,15.32715,14.86445,13.47139,14.22589,13.7315,14.38709,14.03467,14.39391
